,Column,NaN Percentage
0,document_type,100.0
1,registration_number_edessb,100.0
2,document_version,100.0
3,registration_status,100.0
4,document_status,100.0
5,date_of_version,31.576264923614033
6,issuing_body_expertise,100.0
7,issuing_body_project_documentation,100.0
8,object_name,99.91972783914987
9,project_code,100.0
10,expertise_area,99.92100200043322
11,chief_project_expert,99.98343590331665
12,registration_number,100.0
13,construction_type,100.0
14,project_works_list,39.999745167743335
15,number_of_design_stages,100.0
16,current_design_stage,100.0
17,dkbs_code,100.0
18,public_funding_involved,100.0
19,intellectual_property_rights,100.0
20,contract_date,99.19982671406547
21,project_documentation_number,100.0
22,document_internal_status,100.0
23,estimate_code,58.75539925843813
24,estimate_version,58.75539925843813
25,estimate_date,58.44960055043767
26,declared_estimated_cost,58.75539925843813
27,client_legal_status,99.88914796834983
28,client_name,99.88914796834983
29,client_edrpou,90.36479237541887
30,doc_id,100.0
31,document_number,100.0
32,document_date,100.0
33,year,100.0
34,year_month,100.0
35,issuing_body_expertise_edrpo,100.0
36,issuing_body_project_documentation_edrpo,100.0
37,document_version_int,100.0
38,number_of_design_stages_int,100.0
