registration_number_edessb,reason
EX01:3359-9731-2028-0447,Найбільший відсотковий зріст кошторису
EX01:0279-0998-8306-2530,Найбільший відсотковий зріст кошторису
EX01:8441-4585-3589-2467,Найбільший відсотковий зріст кошторису
EX01:8421-8585-5847-7615,Найбільший відсотковий зріст кошторису
EX01:3068-9617-1172-0079,Найбільший відсотковий зріст кошторису
EX01:5039-3557-9449-0618,Найбільший відсотковий зріст кошторису
EX01:1489-9910-2811-5235,Найбільший відсотковий зріст кошторису
EX01:2856-2071-0172-3743,Найбільший відсотковий зріст кошторису
EX01:2628-5745-3594-3640,Найбільший відсотковий зріст кошторису
EX01:7266-1222-1716-1903,Найбільший відсотковий зріст кошторису
EX01:5039-5756-0118-6508,Найбільший відсотковий зріст кошторису
EX01:9557-2039-0292-4507,Найбільший відсотковий зріст кошторису
EX01:1821-8094-7132-5578,Найбільший відсотковий зріст кошторису
EX01:1603-5255-8481-5803,Найменший відсотковий спад кошторису
EX01:3631-1888-6047-0410,Найменший відсотковий спад кошторису
EX01:9884-0483-0863-5455,Найменший відсотковий спад кошторису
EX01:5999-6056-8515-9050,Найменший відсотковий спад кошторису
EX01:4825-8618-8677-2794,Найменший відсотковий спад кошторису
EX01:0653-0121-0071-2120,Найменший відсотковий спад кошторису
EX01:8402-6615-5557-0166,Найменший відсотковий спад кошторису
EX01:6315-3429-6282-0226,Найменший відсотковий спад кошторису
EX01:7104-9071-9912-1092,Найменший відсотковий спад кошторису
EX01:5282-7173-6071-9034,Найменший відсотковий спад кошторису
EX01:7650-7985-3138-0533,Найменший відсотковий спад кошторису
EX01:3897-5514-2229-3223,Найменший відсотковий спад кошторису
EX01:1006-4477-9249-0459,Найменший відсотковий спад кошторису
EX01:2856-2071-0172-3743,Найбільший абсолютний зріст кошторису
EX01:8499-9398-3918-2706,Найбільший абсолютний зріст кошторису
EX01:0642-8882-4629-8610,Найбільший абсолютний зріст кошторису
EX01:9394-9252-6614-3026,Найбільший абсолютний зріст кошторису
EX01:1856-6933-2336-7787,Найбільший абсолютний зріст кошторису
EX01:7779-3030-3039-2472,Найбільший абсолютний зріст кошторису
EX01:0420-5123-5289-6159,Найбільший абсолютний зріст кошторису
EX01:2053-8891-2590-9707,Найбільший абсолютний зріст кошторису
EX01:8421-8585-5847-7615,Найбільший абсолютний зріст кошторису
EX01:0864-0685-8454-0007,Найбільший абсолютний зріст кошторису
EX01:1821-8094-7132-5578,Найбільший абсолютний зріст кошторису
EX01:5082-2480-0909-0806,Найбільший абсолютний зріст кошторису
EX01:0033-9192-2956-0026,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = проект (П), last_stage = проект (П)"
EX01:0046-6778-5760-0958,"Зміна стадій проектування: first_design = 1, last_design = 2; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:0087-3240-3558-1325,"Зміна стадій проектування: first_design = 1, last_design = 2; first_stage = робочий проект (РП), last_stage = проект (П)"
EX01:0124-3182-7953-4524,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = проект (П), last_stage = проект (П)"
EX01:0143-7560-5639-7226,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
