;Column;Non-Null %
0;Назва об'єкта;100.0
1;Тип об'єкта;100.0
2;doc_id;100.0
3;Вид будівництва;99.99
4;Загальна площа приміщень, м2;92.95
5;Площа забудови, м2;88.16
6;Кількість поверхів, од;86.93
7;Загальна площа будівлі, м2;86.92
8;Код ДКБС;80.96
9;Житлова площа приміщень, м2;67.92
10;Літера;63.33
11;Кількість житлових кімнат, од;59.24
12;Нежитлова площа, м2;56.78
13;Рік початку будівництва;52.97
14;Рік завершення будівництва;52.97
15;Дата завершення будівництва;30.72
16;Дата початку будівництва;30.72
17;Кількість поверхів, од (примітка);22.8
18;Гранична висота будівлі/споруди, м;19.17
19;Загальний будівельний об'єм, м3;17.57
20;Будівельний об`єм, м3;17.5
21;Тривалість будівництва, міс;17.02
22;Кількість надземних поверхів, од;16.05
23;Кількість підземних поверхів, од;16.0
24;Цокольний поверх, од;15.9
25;Корисна площа, м2;15.52
26;Висота будівлі, м;15.18
27;Площа приміщень(місць) загального користування (в тому числі допоміжних), м2;15.16
28;Річна потреба в воді, тис.м3;14.34
29;Річна потреба в електроенергії, МВт·год;13.9
30;Тривалість експлуатації (Розрахунковий строк експлуатації), р.;13.77
31;Кількість створених робочих місць, од;13.74
32;Річна потреба в тепловій енергії (Гкал), Гкал/рік;13.3
33;Річна потреба в паливі, тис.т.;12.51
34;у тому числі (примітка);10.62
35;у тому числі;10.32
36;Висота, м;9.16
37;Об`єм, м3;8.82
38;Загальна площа, м2;8.69
39;Загальна площа приміщень, м2 (примітка);8.0
40;Площа забудови, м2 (примітка);7.82
41;Будівельний об'єм вище відм. 0.00, м3;7.32
42;Примітка до періоду будівництва;7.15
43;Висота приміщень, м;7.14
44;Будівельний об'єм нижче відм. 0.00, м3;6.99
45;Поверховість, поверхів;5.32
46;Кошторисна вартість,, тис. грн;5.31
47;Загальна площа будівлі, м2 (примітка);4.89
48;Нежитлова площа, м2 (примітка);4.43
49;Площа основи (забудови), м2;4.38
50;Загальна площа, м2 (примітка);4.12
51;Житлова площа приміщень, м2 (примітка);4.11
52;Об'єм будівлі, м3;3.75
53;Корисна площа, м2 (примітка);3.12
54;Гранична висота будівлі/споруди, м (примітка);2.91
55;Коефіцієнт амортизації відрахувань, коеф.;2.89
56;Загальний будівельний об'єм, м3 (примітка);2.82
57;Площа ділянки (га),;2.78
58;Середне значення років, р.;2.7
59;Кількість надземних поверхів, од (примітка);2.66
60;Висота приміщень, м (примітка);2.61
61;Торгівельна площа, м2;2.59
62;Тривалість будівництва, міс (примітка);2.51
63;Будівельний об`єм, м3 (примітка);2.37
